Team,Elo,AvgGoals5,AvgConceded5,WinRate5,country
Arezzo,1522.05,1.6,1.4,0.7,ITA
Valenciennes,1322.06,1.4,1.4,0.6,FRA
Sete,1367.17,1.0,1.6,0.3,FRA
Roeselare,1339.33,0.6,1.4,0.2,BEL
Erciyesspor,1384.2,1.6,2.0,0.3,TUR
Sivasspor,1367.78,0.8,1.6,0.3,TUR
Waregem,1355.45,2.2,2.8,0.3,BEL
Luton,1496.02,1.2,0.6,0.7,ENG
Hull,1480.14,0.6,1.0,0.3,ENG
Falkirk,1252.4,0.6,0.8,0.4,SCO
Siegen,1330.03,1.0,2.2,0.3,GER
Offenbach,1395.41,1.0,2.4,0.3,GER
Paderborn,1505.94,1.8,1.2,0.7,GER
Heracles,1416.63,1.2,2.6,0.4,NED
Manisaspor,1382.26,0.8,2.4,0.2,TUR
Naval,1493.71,1.2,1.2,0.4,POR
Real Madrid B,1574.73,1.4,1.4,0.6,ESP
Xanthi,1326.88,0.8,1.4,0.4,GRE
PAOK,1544.4,2.0,2.2,0.6,GRE
Lorca,1401.95,0.8,2.0,0.3,ESP
Panathinaikos,1532.28,2.2,1.8,0.6,GRE
Olympiakos,1658.27,2.4,1.2,0.8,GRE
Castellon,1460.37,1.6,2.0,0.3,ESP
Kalamaria,1352.84,0.8,2.0,0.2,GRE
OFI,1276.54,0.0,3.0,0.0,GRE
Akratitos,1219.17,0.6,2.4,0.1,GRE
Iraklis,1319.3,1.6,0.6,0.8,GRE
Panionios,1306.15,0.6,0.8,0.4,GRE
Larisa,1240.27,1.0,0.8,0.6,GRE
Hercules,1523.87,1.2,1.6,0.3,ESP
Atromitos,1316.09,0.8,1.0,0.4,GRE
AEK,1532.28,0.8,2.2,0.0,GRE
Cremonese,1538.7,1.8,1.2,0.7,ITA
Rimini,1460.11,1.4,1.4,0.5,ITA
Levadeiakos,1312.16,1.8,1.0,0.7,GRE
Ionikos,1318.44,2.2,1.0,0.8,GRE
Mantova,1406.83,1.8,1.8,0.5,ITA
Egaleo,1304.56,0.8,2.2,0.1,GRE
Tours,1302.25,1.6,1.8,0.4,FRA
Libourne,1370.62,1.0,2.0,0.2,FRA
St Mirren,1359.14,2.0,1.2,0.8,SCO
Colchester,1432.49,0.8,1.2,0.3,ENG
Southend,1386.46,0.8,2.4,0.2,ENG
CZ Jena,1365.64,0.6,3.0,0.2,GER
Koblenz,1415.72,1.6,2.4,0.5,GER
Augsburg,1628.3,0.6,2.0,0.3,GER
Kerkyra,1281.32,0.8,0.6,0.5,GRE
Ergotelis,1302.39,1.0,1.0,0.5,GRE
Aris,1442.51,1.2,0.4,0.8,GRE
Frosinone,1483.93,0.8,1.4,0.3,ITA
Spezia,1527.4,1.8,1.8,0.4,ITA
Gretna,1232.87,0.2,0.6,0.4,SCO
Boulogne,1412.63,1.6,1.6,0.3,FRA
Buyuksehyr,1458.43,2.2,3.0,0.4,TUR
Bristol City,1538.02,1.2,2.0,0.5,ENG
Blackpool,1417.94,1.8,1.2,0.6,ENG
Scunthorpe,1355.15,1.0,2.0,0.3,ENG
Dender,1398.38,2.0,1.8,0.5,BEL
Kasimpasa,1443.69,1.8,1.2,0.5,TUR
Hoffenheim,1610.46,2.4,2.4,0.4,GER
Wehen,1372.38,0.8,2.0,0.1,GER
Leixoes,1448.91,0.8,1.6,0.2,POR
VVV Venlo,1301.3,0.8,2.8,0.1,NED
Pisa,1537.95,1.6,1.0,0.7,ITA
Grosseto,1302.19,0.6,1.8,0.2,ITA
Granada 74,1506.26,1.2,1.8,0.3,ESP
Sevilla B,1426.49,0.8,1.4,0.4,ESP
Asteras Tripolis,1327.76,0.6,2.0,0.2,GRE
Veria,1248.1,2.4,1.4,0.6,GRE
Vannes,1389.38,2.6,2.4,0.7,FRA
Swansea,1505.23,1.4,0.4,0.8,ENG
Doncaster,1382.97,1.2,1.0,0.5,ENG
Queen of Sth,1252.67,1.3333333333333333,1.3333333333333333,0.3333333333333333,SCO
Hamilton,1205.7,0.8,2.2,0.0,SCO
Tubize,1251.23,1.4,1.8,0.4,BEL
Kortrijk,1373.2,2.0,1.2,0.7,BEL
Ingolstadt,1350.81,0.6,1.6,0.3,GER
Frankfurt FSV,1360.27,0.4,2.4,0.0,GER
Hacettepespor,1368.68,1.2,1.4,0.4,TUR
Eskisehirspor,1387.63,1.2,1.2,0.5,TUR
Trofense,1439.0,1.2,2.0,0.3,POR
Panthrakikos,1255.23,0.4,2.4,0.2,GRE
Sassuolo,1632.47,1.6,0.8,0.7,ITA
Alicante,1451.78,0.6,1.8,0.2,ESP
Girona,1655.05,1.0,1.0,0.5,ESP
Thrasyvoulos,1234.46,0.8,2.2,0.1,GRE
Panserraikos,1252.49,1.0,1.6,0.4,GRE
Huesca,1496.86,1.2,2.2,0.3,ESP
Arles,1338.0,1.2,1.2,0.5,FRA
